epoch,lr,train_loss,val_loss,train_rocauc,val_rocauc,time
0.017784,0.001000,0.243948,,0.568998,0.617468,0:08:15
0.036936,0.001000,0.210173,,0.601610,0.560250,0:08:41
0.056088,0.001000,0.201673,,0.607241,0.664462,0:09:09
0.075239,0.001000,0.191133,,0.606510,0.662485,0:09:42
0.094391,0.001000,0.187301,,0.635124,0.696405,0:10:13
0.113543,0.001000,0.183572,,0.650232,0.702267,0:10:43
0.132695,0.001000,0.182256,,0.654679,0.699056,0:11:13
0.151847,0.001000,0.180423,,0.657442,0.602386,0:11:43
0.170999,0.001000,0.180210,,0.653955,0.561724,0:12:11
0.190150,0.001000,0.179665,,0.657550,0.559250,0:12:40
0.209302,0.001000,0.179433,,0.668798,0.538665,0:13:11
0.228454,0.001000,0.178539,,0.669737,0.496491,0:13:40
0.247606,0.001000,0.178169,,0.676812,0.589655,0:14:10
0.266758,0.001000,0.176496,,0.679398,0.633293,0:14:39
0.285910,0.001000,0.176228,,0.687578,0.707916,0:15:06
0.305062,0.001000,0.175666,,0.694257,0.497844,0:15:35
0.324213,0.001000,0.175251,,0.705109,0.671240,0:16:06
0.343365,0.001000,0.175330,,0.702408,0.573238,0:16:36
0.362517,0.001000,0.175289,,0.697095,0.749290,0:17:08
0.381669,0.001000,0.175499,,0.701856,0.752278,0:17:38
0.400821,0.001000,0.175549,,0.705459,0.735782,0:18:09
0.419973,0.001000,0.175584,,0.709355,0.802311,0:18:40
0.439124,0.001000,0.175637,,0.706726,0.798915,0:19:10
0.458276,0.001000,0.175520,,0.709911,0.795104,0:19:40
0.477428,0.001000,0.174966,,0.716314,0.810906,0:20:20
0.496580,0.001000,0.175232,,0.718962,0.846617,0:20:54
0.515732,0.001000,0.174347,,0.724538,0.803456,0:21:27
0.534884,0.001000,0.175866,,0.735196,0.859835,0:21:56
0.554036,0.001000,0.179531,,0.748278,0.856348,0:22:28
0.573187,0.001000,0.187162,,0.780255,0.830057,0:22:58
0.592339,0.001000,0.193282,,0.793758,0.846134,0:23:28
0.611491,0.001000,0.197845,,0.799782,0.859157,0:23:57
0.630643,0.001000,0.201872,,0.806140,0.764398,0:24:25
0.649795,0.001000,0.204171,,0.810900,0.675131,0:24:55
0.668947,0.001000,0.207797,,0.815628,0.645587,0:25:27
0.688098,0.001000,0.211542,,0.818933,0.783807,0:26:00
0.707250,0.001000,0.213880,,0.821168,0.765410,0:26:30
0.726402,0.001000,0.216960,,0.825140,0.814785,0:27:00
0.745554,0.001000,0.221104,,0.830023,0.804687,0:27:32
0.764706,0.001000,0.226566,,0.835501,0.783597,0:28:02
0.783858,0.001000,0.231705,,0.841168,0.839711,0:28:32
0.803010,0.001000,0.237642,,0.844881,0.789934,0:29:01
0.822161,0.001000,0.242745,,0.847952,0.763700,0:29:30
0.841313,0.001000,0.247686,,0.851664,0.750300,0:30:00
0.860465,0.001000,0.252945,,0.854474,0.635803,0:30:28
0.879617,0.001000,0.258062,,0.857903,0.636339,0:30:58
0.898769,0.001000,0.261528,,0.859286,0.771963,0:31:27
0.917921,0.001000,0.264661,,0.860955,0.755653,0:31:57
0.937073,0.001000,0.268730,,0.861472,0.807414,0:32:27
0.956224,0.001000,0.272720,,0.863730,0.831379,0:32:54
0.975376,0.001000,0.274868,,0.863495,0.849230,0:33:08
0.994528,0.001000,0.275599,,0.863580,0.858034,0:33:23
1.017784,0.000820,0.276478,,0.844294,0.832195,0:34:02
1.036936,0.000820,0.255190,,0.861984,0.827415,0:34:16
1.056088,0.000820,0.238767,,0.873739,0.843469,0:34:30
1.075239,0.000820,0.226688,,0.877527,0.854870,0:34:45
1.094391,0.000820,0.218221,,0.868817,0.858226,0:34:59
1.113543,0.000820,0.213362,,0.859009,0.858232,0:35:13
1.132695,0.000820,0.206915,,0.860461,0.860840,0:35:27
1.151847,0.000820,0.202685,,0.855188,0.872485,0:35:42
1.170999,0.000820,0.199540,,0.858439,0.877935,0:35:56
1.190150,0.000820,0.196561,,0.855510,0.879431,0:36:10
1.209302,0.000820,0.194582,,0.852230,0.879162,0:36:24
1.228454,0.000820,0.193075,,0.851108,0.874867,0:36:38
1.247606,0.000820,0.191483,,0.846331,0.876760,0:36:53
1.266758,0.000820,0.188821,,0.846944,0.887270,0:37:07
1.285910,0.000820,0.187409,,0.844241,0.890502,0:37:21
1.305062,0.000820,0.185642,,0.845857,0.886920,0:37:36
1.324213,0.000820,0.183517,,0.846536,0.888032,0:37:50
1.343365,0.000820,0.182909,,0.842374,0.890211,0:38:04
1.362517,0.000820,0.182314,,0.844080,0.889145,0:38:18
1.381669,0.000820,0.181719,,0.843988,0.883266,0:38:32
1.400821,0.000820,0.181350,,0.841564,0.879080,0:38:46
1.419973,0.000820,0.180929,,0.841030,0.876203,0:39:00
1.439124,0.000820,0.180366,,0.841414,0.875629,0:39:14
1.458276,0.000820,0.179556,,0.843126,0.869122,0:39:29
