loss,root_loss,vowel_loss,consonant_loss,root_recall,vowel_recall,consonant_recall,val_loss,val_root_loss,val_vowel_loss,val_consonant_loss,val_root_recall,val_vowel_recall,val_consonant_recall,lr,weighted_recall,val_weighted_recall
1.6521207485159615,0.6054126620292664,0.23344004154205322,0.20670637488365173,0.7742592096328735,0.9208657145500183,0.9327822923660278,2.514512726023227,1.0893841981887817,0.1610308289527893,0.17471368610858917,0.6727245450019836,0.948466420173645,0.9434375762939453,0.0009938502917066216,0.85054165,0.8093382
1.1733214380773356,0.4252406656742096,0.16610868275165558,0.1566695123910904,0.8520215153694153,0.9477140307426453,0.9515811204910278,1.5959356072582775,0.6333573460578918,0.14171676337718964,0.18750417232513428,0.8147779107093811,0.9567317366600037,0.9422425627708435,0.0009755527134984732,0.90083456,0.88213253
0.9832517866746536,0.3567468523979187,0.13852110505104065,0.13188505172729492,0.8792073130607605,0.9590442180633545,0.960443913936615,0.9925484544114221,0.3804095983505249,0.12193584442138672,0.10979335010051727,0.8814479112625122,0.963851809501648,0.9656442999839783,0.0009455577819608152,0.9194757,0.92309797
0.8326088792403661,0.3003315031528473,0.11969011276960373,0.11243776232004166,0.8989798426628113,0.9661920070648193,0.9668779969215393,0.8786273591126068,0.34112870693206787,0.09588368982076645,0.10048609226942062,0.886377215385437,0.9714698195457458,0.969478189945221,0.0009046039776876569,0.93275744,0.9284256
0.7455217959629479,0.26693642139434814,0.1074826642870903,0.10366982966661453,0.9115492701530457,0.9700037837028503,0.9700535535812378,0.8531912255890762,0.3319389224052429,0.09791276603937149,0.0914006382226944,0.892401933670044,0.9717685580253601,0.9712706804275513,0.0008536998648196459,0.940789,0.93196076
0.6479304956172124,0.2330721765756607,0.0933988019824028,0.08876744657754898,0.9230343699455261,0.9745513200759888,0.9744462370872498,1.0241015493115293,0.39713555574417114,0.12474441528320312,0.10508599132299423,0.8857299089431763,0.9655945301055908,0.970971941947937,0.0007940987125039101,0.9487666,0.92700654
0.5868142362402156,0.2098427712917328,0.08504641801118851,0.08170437067747116,0.9310340881347656,0.9774502515792847,0.9767919182777405,0.8149001628537721,0.3267982602119446,0.08209619671106339,0.07920743525028229,0.8972316384315491,0.9779924154281616,0.9750049710273743,0.0007272682269103825,0.9540776,0.9368652
0.5182958995225686,0.18436592817306519,0.07595477998256683,0.0745251476764679,0.9398525953292847,0.9800006747245789,0.9794363379478455,0.8613598505152932,0.34409478306770325,0.09273678809404373,0.0804336816072464,0.8974307775497437,0.9743577241897583,0.9764488935470581,0.0006548539968207479,0.9597856,0.936417
0.45189988114807506,0.1602114737033844,0.06809195131063461,0.06489675492048264,0.9477140307426453,0.9827336072921753,0.9825732111930847,0.6308050627195383,0.23889486491680145,0.07577333599328995,0.07724200934171677,0.9265584349632263,0.9806811213493347,0.9767476320266724,0.0005786390393041074,0.96518373,0.9526364
0.396249124135591,0.13972799479961395,0.05864726006984711,0.058690428733825684,0.953805148601532,0.9853891730308533,0.9840005040168762,0.5952306838729714,0.2306080162525177,0.06652212888002396,0.0674925222992897,0.9299940466880798,0.9829715490341187,0.981925904750824,0.0005005000275559723,0.96925,0.95622134
0.3396235449180792,0.11792336404323578,0.05270050838589668,0.051511939615011215,0.9613014459609985,0.986788809299469,0.9860696196556091,0.5196545599382135,0.19934070110321045,0.058233845978975296,0.06273932754993439,0.9458773136138916,0.9845150113105774,0.9844154715538025,0.0004223609867040068,0.97386533,0.9651713
0.2789911808803295,0.0957983136177063,0.04364405572414398,0.044048093259334564,0.9686649441719055,0.9893171191215515,0.988642156124115,0.5547248928607265,0.20765934884548187,0.07176844030618668,0.06763783097267151,0.9414957165718079,0.9832204580307007,0.9826727509498596,0.0003461460000835359,0.9788223,0.96222115
0.23281654186714812,0.07936929911375046,0.03693149983882904,0.037155117839574814,0.9741197824478149,0.9910210371017456,0.9906669855117798,0.5143453967344912,0.18933193385601044,0.06973079591989517,0.06595068424940109,0.9490141272544861,0.981925904750824,0.9827225804328918,0.0002737317408900708,0.98248196,0.9656692
0.1885108630163201,0.0622640997171402,0.0328410267829895,0.0327698290348053,0.9796023368835449,0.9923100471496582,0.992050051689148,0.5023119308148758,0.18846918642520905,0.06371854245662689,0.061655037105083466,0.9509559869766235,0.9870543479919434,0.9854112863540649,0.00020690126984845847,0.9858912,0.96859443
0.15682161586586796,0.050827834755182266,0.028393620625138283,0.02664642408490181,0.9834638833999634,0.993427574634552,0.9932284355163574,0.488843224848373,0.18413466215133667,0.058922845870256424,0.06165104731917381,0.9518024325370789,0.9864568710327148,0.9845648407936096,0.00014730016118846834,0.9883959,0.96865666
0.128930350348326,0.04166031256318092,0.0234112199395895,0.022138729691505432,0.9866726398468018,0.994594931602478,0.9947885274887085,0.46966680356218843,0.17873206734657288,0.051787734031677246,0.060414887964725494,0.9539434313774109,0.9889962077140808,0.9860087633132935,9.639601194066927e-05,0.99068224,0.970723
0.10527447125682153,0.03306310996413231,0.020117834210395813,0.0189377348870039,0.9895439147949219,0.995646059513092,0.9955188035964966,0.45643105744561063,0.1734490692615509,0.052262190729379654,0.05727079138159752,0.9576777815818787,0.989693284034729,0.9863075017929077,5.544224040932022e-05,0.9925631,0.9728391
0.09321927859770497,0.029081614688038826,0.018531199544668198,0.016479989513754845,0.9913308620452881,0.9959558844566345,0.9962490797042847,0.468123906209499,0.17653226852416992,0.05776401609182358,0.05729538947343826,0.9555865526199341,0.9880003929138184,0.9865564703941345,2.544727067288477e-05,0.9937167,0.9714325
0.086779352107118,0.02668701857328415,0.017515795305371284,0.015965495258569717,0.9918841123580933,0.9961661100387573,0.9963099360466003,0.44426759624782997,0.16969311237335205,0.04981977865099907,0.05506161227822304,0.9576279520988464,0.9893945455551147,0.9880501627922058,7.149673820094904e-06,0.9940611,0.97317517
