
--- [START 2021-06-20_13-54-43] ----------------------------------------------------------------

	@common.py:  
	pytorch
		seed = 1624197292
		torch.__version__              = 1.9.0+cu102
		torch.version.cuda             = 10.2
		torch.backends.cudnn.version() = 7605
		os['CUDA_VISIBLE_DEVICES']     = None
		torch.cuda.device_count()      = 1
		torch.cuda.get_device_properties() = (name='Tesla P100-PCIE-16GB', major=6, minor=0, total_memory=16280MB, multi_processor_count=56)


	__file__ = SZ256_EFB3A_MASK_5FOLDS
	out_dir  = /content/drive/My Drive/kaggle/covid19-det/output/SZ256_EFB3A_MASK_5FOLDS/fold4-fine

train_dataset : 
	len = 4983
	df  = (4983, 10)
	label distribution
		 0     Negative for Pneumonia:  1367 (0.2743)
		 1         Typical Appearance:  2369 (0.4754)
		 2   Indeterminate Appearance:   867 (0.1740)
		 3        Atypical Appearance:   380 (0.0763)

valid_dataset : 
	len = 1244
	df  = (1244, 10)
	label distribution
		 0     Negative for Pneumonia:   342 (0.2749)
		 1         Typical Appearance:   589 (0.4735)
		 2   Indeterminate Appearance:   215 (0.1728)
		 3        Atypical Appearance:    98 (0.0788)


** net setting **
net=<class '__main__.AmpNet'>
	initial_checkpoint = None

optimizer
  MADGRAD (
Parameter Group 0
    eps: 1e-06
    lr: 0.0001
    momentum: 0.9
    weight_decay: 0
)

** start training here! **
   fold = 4
   is_mixed_precision = True 
   batch_size = 8
   experiment = ['SZ256_EFB3A_MASK_5FOLDS']
                      |----- VALID ---|---- TRAIN/BATCH --------------
rate     iter   epoch | loss    map   | loss0  loss1  | time          
----------------------------------------------------------------------
0.00010  0.840* 13.50  | 1.021  0.343  0.172  0.377  | 0.668  0.188  0.000  |  0 hr 24 min
0.00010  0.860* 13.83  | 0.984  0.351  0.177  0.412  | 0.799  0.178  0.000  |  0 hr 25 min
0.00010  0.880* 14.15  | 1.019  0.348  0.206  0.429  | 0.682  0.181  0.000  |  0 hr 25 min
0.00010  0.900* 14.47  | 1.065  0.350  0.201  0.410  | 0.664  0.191  0.000  |  0 hr 26 min
0.00010  0.920* 14.79  | 1.053  0.343  0.175  0.422  | 0.704  0.183  0.000  |  0 hr 27 min
0.00010  0.940* 15.11  | 1.069  0.347  0.221  0.458  | 0.684  0.184  0.000  |  0 hr 27 min
0.00010  0.960* 15.43  | 1.017  0.355  0.222  0.430  | 0.726  0.190  0.000  |  0 hr 28 min
0.00010  0.980* 15.76  | 1.102  0.349  0.185  0.409  | 0.664  0.193  0.000  |  0 hr 28 min
0.00010  1.000* 16.08  | 1.107  0.340  0.200  0.449  | 0.655  0.181  0.000  |  0 hr 29 min
0.00010  1.020  16.40  | 1.178  0.329  0.220  0.443  | 0.669  0.182  0.000  |  0 hr 30 min
0.00010  1.040  16.72  | 0.984  0.363  0.188  0.399  | 0.739  0.179  0.000  |  0 hr 30 min

