epoch,lr,train_loss,val_loss,train_rocauc,val_rocauc,time
0.017833,0.001000,0.252794,,0.634052,0.610677,0:08:21
0.037037,0.001000,0.220515,,0.612118,0.564844,0:08:48
0.056241,0.001000,0.206468,,0.630193,0.627353,0:09:18
0.075446,0.001000,0.193371,,0.624378,0.512828,0:09:47
0.094650,0.001000,0.185611,,0.610724,0.559421,0:10:18
0.113855,0.001000,0.185052,,0.623388,0.592228,0:10:47
0.133059,0.001000,0.185966,,0.641148,0.674033,0:11:16
0.152263,0.001000,0.184750,,0.648672,0.682471,0:11:45
0.171468,0.001000,0.184714,,0.648144,0.705986,0:12:17
0.190672,0.001000,0.184328,,0.663912,0.681978,0:12:47
0.209877,0.001000,0.183204,,0.680150,0.701943,0:13:16
0.229081,0.001000,0.182782,,0.688465,0.707903,0:13:45
0.248285,0.001000,0.180370,,0.690697,0.774850,0:14:13
0.267490,0.001000,0.178759,,0.689660,0.762589,0:14:41
0.286694,0.001000,0.177892,,0.692506,0.797541,0:15:10
0.305898,0.001000,0.177761,,0.694840,0.796403,0:15:39
0.325103,0.001000,0.176774,,0.699315,0.787737,0:16:09
0.344307,0.001000,0.176312,,0.695786,0.824132,0:16:38
0.363512,0.001000,0.175963,,0.697449,0.806340,0:17:08
0.382716,0.001000,0.175707,,0.696756,0.702727,0:17:35
0.401920,0.001000,0.176189,,0.700485,0.790809,0:18:03
0.421125,0.001000,0.176865,,0.705279,0.777031,0:18:31
0.440329,0.001000,0.177271,,0.708589,0.815572,0:19:01
0.459534,0.001000,0.176698,,0.711797,0.805859,0:19:29
0.478738,0.001000,0.176542,,0.711131,0.807961,0:19:58
0.497942,0.001000,0.176259,,0.714699,0.832706,0:20:27
0.517147,0.001000,0.175785,,0.717994,0.793571,0:20:57
0.536351,0.001000,0.177647,,0.728216,0.856153,0:21:27
0.555556,0.001000,0.181578,,0.749438,0.852568,0:21:58
0.574760,0.001000,0.188898,,0.778508,0.747700,0:22:29
0.593964,0.001000,0.194852,,0.790822,0.728458,0:22:58
0.613169,0.001000,0.200398,,0.801188,0.793876,0:23:25
0.632373,0.001000,0.204414,,0.807356,0.812810,0:23:56
0.651578,0.001000,0.208262,,0.810929,0.823684,0:24:26
0.670782,0.001000,0.211425,,0.813614,0.836885,0:24:57
0.689986,0.001000,0.214412,,0.814917,0.828796,0:25:28
0.709191,0.001000,0.216902,,0.816737,0.854584,0:26:02
