epoch,lr,loss,root,time
27.999329,0.001000,2.990921,0.962908,0:24:15
28.999329,0.001000,0.146206,0.963724,0:48:27
29.999329,0.001000,1.960821,0.964671,1:11:42
30.999329,0.001000,0.076595,0.959782,1:34:41
31.999329,0.001000,2.316098,0.961177,1:57:39
32.999329,0.001000,1.009950,0.963075,2:20:35
33.999329,0.001000,0.183675,0.961317,2:43:20
34.999329,0.001000,0.089159,0.962946,3:06:06
35.999329,0.001000,2.382773,0.965857,3:28:53
36.999329,0.001000,2.653550,0.963209,3:51:44
37.999329,0.001000,0.903009,0.964491,4:15:25
38.999329,0.001000,0.897888,0.965972,4:38:58
39.999329,0.001000,2.046384,0.962724,5:01:58
40.999329,0.001000,0.096912,0.965048,5:24:55
41.999329,0.001000,0.074016,0.965190,5:48:03
42.999329,0.001000,2.675200,0.966904,6:11:00
43.999329,0.001000,1.073259,0.964855,6:33:50
