iter,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
0.499801,0.006500,0.871687,0.336493,0.100392,0.098310,0.937354,0.920500,0.965133,0.943283,0:06:19
0.999801,0.006500,0.917501,0.351890,0.105441,0.108280,0.907354,0.889382,0.919239,0.931412,0:12:37
1.499801,0.006317,0.836821,0.324292,0.093332,0.094905,0.956728,0.940893,0.978013,0.967112,0:18:56
1.999801,0.006317,0.840798,0.325230,0.095127,0.095211,0.850460,0.821909,0.858342,0.899678,0:25:14
2.499801,0.006134,0.860632,0.334470,0.093022,0.098670,0.963383,0.947737,0.980901,0.977156,0:31:30
2.999801,0.006134,0.813863,0.311575,0.094490,0.096223,0.955294,0.939938,0.974468,0.966832,0:37:37
3.499801,0.005952,0.804484,0.310081,0.091731,0.092592,0.954021,0.935569,0.974590,0.970356,0:43:45
3.999801,0.005952,0.790838,0.303259,0.091702,0.092618,0.950693,0.942030,0.967656,0.951057,0:49:53
4.499801,0.005772,0.799052,0.308988,0.090086,0.090990,0.960742,0.942820,0.981204,0.976125,0:56:00
4.999801,0.005772,0.807226,0.307815,0.090933,0.100664,0.960072,0.944655,0.979523,0.971457,1:02:06
5.499801,0.005594,0.792011,0.301870,0.091798,0.096474,0.959329,0.945369,0.978163,0.968414,1:08:13
5.999801,0.005594,0.776223,0.301179,0.082419,0.091445,0.963361,0.947374,0.982900,0.975795,1:14:21
6.499801,0.005418,0.742574,0.284792,0.087838,0.085153,0.961703,0.945454,0.982008,0.973895,1:20:28
6.999801,0.005418,0.740745,0.283087,0.084553,0.090018,0.959572,0.943999,0.977023,0.973267,1:26:35
7.499801,0.005246,0.747049,0.288832,0.084448,0.084938,0.952136,0.934443,0.971289,0.968368,1:32:44
7.999801,0.005246,0.723610,0.276298,0.086093,0.084921,0.960054,0.944115,0.980851,0.971134,1:38:54
8.499801,0.005076,0.707771,0.271691,0.080946,0.083442,0.942003,0.926611,0.961597,0.953193,1:45:05
8.999801,0.005076,0.725465,0.279353,0.083249,0.083511,0.960457,0.942126,0.980742,0.976832,1:51:16
9.499801,0.004911,0.665107,0.254057,0.078582,0.078411,0.959788,0.949640,0.977821,0.962050,1:57:27
9.999801,0.004911,0.693288,0.264871,0.080676,0.082869,0.955462,0.938833,0.970883,0.973299,2:03:38
