iter,lr,loss,root_loss,vowel_loss,consonant_loss,kaggle,root,vowel,cons,time
0.499801,0.004750,0.678684,0.258596,0.079763,0.081728,0.880825,0.914563,0.756671,0.937505,0:06:12
0.999801,0.004750,0.651618,0.250241,0.075857,0.075279,0.962644,0.947497,0.978812,0.976771,0:12:23
1.499801,0.004594,0.658357,0.251939,0.076977,0.077501,0.962586,0.947633,0.981857,0.973219,0:18:34
1.999801,0.004594,0.633726,0.243289,0.072774,0.074374,0.962020,0.948400,0.982398,0.968882,0:24:42
2.499801,0.004443,0.633042,0.242963,0.071929,0.075187,0.966026,0.952767,0.982949,0.975622,0:30:52
2.999801,0.004443,0.665130,0.249780,0.081031,0.084540,0.965824,0.950999,0.982912,0.978385,0:37:02
3.499801,0.004297,0.610807,0.233640,0.071840,0.071687,0.963304,0.949671,0.982804,0.971071,0:43:12
3.999801,0.004297,0.616663,0.235853,0.072258,0.072699,0.939738,0.924666,0.960276,0.949344,0:49:22
4.499801,0.004158,0.630959,0.240379,0.070426,0.079774,0.964016,0.948300,0.981556,0.977909,0:55:32
4.999801,0.004158,0.589766,0.223766,0.070141,0.072093,0.952579,0.941288,0.972246,0.955494,1:01:42
5.499801,0.004025,0.571600,0.216448,0.065958,0.072746,0.966012,0.951143,0.983307,0.978457,1:07:52
5.999801,0.004025,0.576842,0.218475,0.070328,0.069564,0.963281,0.952037,0.981153,0.967896,1:14:03
6.499801,0.003899,0.591708,0.223919,0.069223,0.074646,0.960986,0.945517,0.976559,0.976351,1:20:14
6.999801,0.003899,0.573119,0.216125,0.068840,0.072029,0.940108,0.924836,0.955925,0.954834,1:26:25
7.499801,0.003780,0.563657,0.213888,0.067551,0.068331,0.966947,0.955642,0.982317,0.974189,1:32:36
7.999801,0.003780,0.573067,0.218563,0.066840,0.069101,0.966000,0.950958,0.982215,0.979869,1:38:46
8.499801,0.003668,0.561327,0.213101,0.067697,0.067427,0.964972,0.950228,0.982844,0.976587,1:44:56
8.999801,0.003668,0.557223,0.210808,0.066974,0.068632,0.963915,0.949850,0.982185,0.973774,1:51:07
9.499801,0.003565,0.549880,0.207660,0.064821,0.069738,0.964677,0.951794,0.982441,0.972679,1:57:16
9.999801,0.003565,0.550307,0.210486,0.062401,0.066935,0.966818,0.953125,0.982678,0.978343,2:03:26
