index,epoch,sample_count,train_loss,val_loss,epoch_val_loss
0,0,32,1.8267486095428467,,
1,0,64,1.773792028427124,,
2,0,96,1.7240933179855347,,
3,0,128,1.6968705654144287,,
4,0,160,1.6634082794189453,,
5,0,192,1.631582498550415,,
6,0,224,1.608821988105774,,
7,0,224,,1.6312251091003418,
8,0,256,1.577333927154541,,
9,0,288,1.5556507110595703,,
10,0,320,1.5285943746566772,,
11,0,352,1.5044877529144287,,
12,0,384,1.48593270778656,,
13,0,416,1.457991600036621,,
14,0,448,1.4401519298553467,,
15,0,480,1.4167119264602661,,
16,0,480,,1.4084218740463257,
17,0,512,1.396284580230713,,
18,0,544,1.3739585876464844,,
19,0,576,1.3507564067840576,,
20,0,608,1.3370170593261719,,
21,0,640,1.318965196609497,,
22,0,672,1.3052951097488403,,
23,0,704,1.2881672382354736,,
24,0,736,1.2717232704162598,,
25,0,736,,1.304481863975525,
26,0,768,1.2554411888122559,,
27,0,800,1.2393910884857178,,
28,0,832,1.2253005504608154,,
29,0,864,1.2123808860778809,,
30,0,896,1.2040224075317383,,
31,0,928,1.189094066619873,,
32,0,960,1.1757839918136597,,
33,0,992,1.1751939058303833,,
34,0,992,,1.2045058012008667,
35,0,1024,1.1580188274383545,,
36,0,1056,1.1480063199996948,,
37,0,1088,1.1337171792984009,,
38,0,1120,1.1245090961456299,,
39,0,1152,1.1087685823440552,,
40,0,1184,1.1070908308029175,,
41,0,1216,1.1008985042572021,,
42,0,1248,1.0900980234146118,,
43,0,1248,,1.1269583702087402,
44,0,1280,1.083289384841919,,
45,0,1312,1.0815051794052124,,
46,0,1344,1.081348180770874,,
47,0,1376,1.0631053447723389,,
48,0,1408,1.0727415084838867,,
49,0,1440,1.0456311702728271,,
50,0,1472,1.052464246749878,,
51,0,1504,1.0456238985061646,,
52,0,1504,,1.086678385734558,
53,0,1536,1.0469516515731812,,
54,0,1568,1.0402379035949707,,
55,0,1600,1.0266106128692627,,
56,0,1632,1.0329142808914185,,
57,0,1664,1.0126444101333618,,
58,0,1696,0.9894465208053589,,
59,0,1728,1.001404047012329,,
60,0,1760,0.9813629984855652,,
61,0,1760,,1.0566816329956055,
62,0,1792,0.9871405363082886,,
63,0,1824,0.9862223863601685,,
64,0,1856,0.9763769507408142,,
65,0,1888,0.9811710119247437,,
66,0,1920,0.990485429763794,,
67,0,1952,0.9449748992919922,,
68,0,1984,0.9826827645301819,,
69,0,2016,0.9816043376922607,,
70,0,2016,,1.0362294912338257,
71,0,2048,0.9234538674354553,,
72,0,2080,0.9519535899162292,,
73,0,2112,0.9564213156700134,,
74,0,2144,0.933732271194458,,
75,0,2176,0.9389600157737732,,
76,0,2208,0.9711085557937622,,
77,0,2240,0.9444500207901001,,
78,0,2272,0.9139037132263184,,
79,0,2272,,1.022798776626587,
80,0,2304,0.9223631024360657,,
81,0,2336,0.9275745153427124,,
82,0,2368,0.924493134021759,,
83,0,2400,0.906162440776825,,
84,0,2432,0.9236146211624146,,
85,0,2464,0.894563615322113,,
86,0,2496,0.9146274924278259,,
87,0,2528,0.9310284852981567,,
88,0,2528,,0.9999008774757385,
89,0,2560,0.8920264840126038,,
90,0,2592,0.8714240193367004,,
91,0,2624,0.8880955576896667,,
92,0,2656,0.874935507774353,,
93,0,2688,0.866932213306427,,
94,0,2720,0.8845013976097107,,
95,0,2752,0.8702661395072937,,
96,0,2784,0.8558027744293213,,
97,0,2784,,0.9636828303337097,
98,0,2816,0.8655425906181335,,
99,0,2848,0.8346211314201355,,
100,0,2880,0.855739176273346,,
101,0,2912,0.8547559976577759,,
102,0,2944,0.8399571180343628,,
103,0,2976,0.8409438133239746,,
104,0,3008,0.8287225365638733,,
105,0,3040,0.814875602722168,,
106,0,3040,,0.9219721555709839,
107,0,3072,0.823634922504425,,
108,0,3104,0.8142687678337097,,
109,0,3136,0.8352984189987183,,
110,0,3168,0.8397049903869629,,
111,0,3200,0.8315525054931641,,
112,0,3232,0.8304109573364258,,
113,0,3264,0.8548926711082458,,
114,0,3296,0.8526328206062317,,
115,0,3296,,0.8993277549743652,
116,0,3328,0.829899787902832,,
117,0,3360,0.8411105275154114,,
118,0,3392,0.8377652168273926,,
119,0,3424,0.8246036171913147,,
120,0,3456,0.8248904943466187,,
