epoch,lr,loss,root,time
1.499204,0.001000,,0.431236,0:10:29
1.999204,0.001000,,0.734541,0:20:37
2.499204,0.001000,,0.826202,0:30:45
2.999204,0.001000,,0.821063,0:40:51
3.499204,0.001000,,0.867390,0:50:58
3.999204,0.001000,,0.862556,1:01:03
4.499204,0.001000,,0.867426,1:11:10
4.999204,0.001000,,0.875533,1:21:12
5.499204,0.001000,,0.890362,1:31:17
5.999204,0.001000,,0.891141,1:41:19
6.499204,0.001000,,0.911561,1:51:23
6.999204,0.001000,,0.905276,2:01:25
7.499204,0.001000,,0.910839,2:11:28
7.999204,0.001000,,0.918145,2:21:28
8.499204,0.001000,,0.905618,2:31:32
8.999204,0.001000,,0.921565,2:41:33
9.499204,0.001000,,0.910764,2:51:36
9.999204,0.001000,,0.920475,3:01:37
10.499204,0.001000,,0.933633,3:11:40
10.999204,0.001000,,0.927063,3:21:40
11.499204,0.001000,,0.924995,3:31:42
11.999204,0.001000,,0.930605,3:41:42
12.499204,0.001000,,0.931187,3:51:44
12.999204,0.001000,,0.931477,4:01:44
13.499204,0.001000,,0.935879,4:11:45
13.999204,0.001000,,0.930377,4:21:46
14.499204,0.001000,,0.932240,4:31:47
14.999204,0.001000,,0.937814,4:41:47
15.499204,0.001000,,0.939878,4:51:50
15.999204,0.001000,,0.934017,5:01:50
16.499204,0.001000,,0.942623,5:11:52
16.999204,0.001000,,0.939463,5:21:52
17.499204,0.001000,,0.936642,5:31:54
17.999204,0.001000,,0.937920,5:41:53
18.499204,0.001000,,0.941622,5:51:55
18.999204,0.001000,,0.946729,6:01:54
