epoch,lr,loss,root,time
56.499204,0.000700,0.062702,0.953709,0:08:09
56.999204,0.000700,0.764035,0.954740,0:15:33
57.499204,0.000700,0.070417,0.956062,0:23:04
57.999204,0.000700,0.097355,0.954130,0:30:34
58.499204,0.000700,0.087837,0.954715,0:38:00
58.999204,0.000700,0.027183,0.953493,0:45:18
59.499204,0.000700,0.128409,0.955157,0:52:38
59.999204,0.000700,0.034499,0.955545,0:59:52
60.499204,0.000700,0.121542,0.956102,1:07:10
60.999204,0.000700,0.751995,0.958176,1:14:31
61.499204,0.000700,1.729901,0.955395,1:21:46
61.999204,0.000700,0.813930,0.955055,1:29:00
62.499204,0.000490,0.123005,0.958716,1:36:16
62.999204,0.000490,0.018570,0.957332,1:43:25
63.499204,0.000490,0.809915,0.957038,1:50:35
63.999204,0.000490,0.836342,0.955713,1:57:46
64.499204,0.000490,0.067158,0.957570,2:05:06
64.999204,0.000490,0.909933,0.955728,2:12:20
65.499204,0.000490,1.479824,0.957862,2:19:36
65.999204,0.000490,1.648396,0.958522,2:26:50
66.499204,0.000490,0.776525,0.956648,2:34:07
66.999204,0.000490,0.673195,0.959235,2:41:30
67.499204,0.000343,0.901246,0.957002,2:48:47
67.999204,0.000343,0.027195,0.957258,2:56:03
68.499204,0.000343,0.708027,0.957209,3:03:15
68.999204,0.000343,1.693449,0.959269,3:10:32
69.499204,0.000343,0.084564,0.958621,3:17:42
69.999204,0.000343,0.092962,0.958996,3:24:45
70.499204,0.000343,0.050425,0.958069,3:31:57
70.999204,0.000343,0.656751,0.957547,3:39:09
71.499204,0.000343,0.065466,0.957478,3:46:21
71.999204,0.000343,0.025418,0.958197,3:53:35
72.499204,0.000343,0.056267,0.959271,4:00:51
72.999204,0.000343,0.062892,0.957451,4:08:07
73.499204,0.000343,0.007415,0.958077,4:15:21
73.999204,0.000343,0.185038,0.957503,4:22:29
74.499204,0.000343,0.793265,0.956492,4:29:44
74.999204,0.000343,0.117145,0.957746,4:36:55
75.499204,0.000343,0.013553,0.958798,4:44:11
75.999204,0.000343,0.707669,0.957729,4:51:23
76.499204,0.000343,0.742314,0.957773,4:58:38
76.999204,0.000343,0.086608,0.956431,5:05:50
77.499204,0.000343,0.722200,0.959177,5:13:04
77.999204,0.000343,1.550407,0.958550,5:20:20
78.499204,0.000240,1.496803,0.957193,5:27:36
78.999204,0.000240,0.035478,0.958968,5:34:49
79.499204,0.000240,0.014352,0.960067,5:41:58
79.999204,0.000240,0.048348,0.957181,5:49:06
80.499204,0.000240,0.013974,0.958735,5:56:18
80.999204,0.000240,0.042692,0.957778,6:03:28
81.499204,0.000240,0.045515,0.958847,6:10:50
81.999204,0.000240,0.699925,0.958831,6:17:58
82.499204,0.000240,0.651140,0.958589,6:25:08
82.999204,0.000240,0.023671,0.957783,6:32:29
83.499204,0.000240,0.787829,0.957976,6:39:51
83.999204,0.000240,0.680810,0.958419,6:46:55
84.499204,0.000240,1.649548,0.958442,6:54:13
84.999204,0.000240,0.040753,0.957935,7:01:29
85.499204,0.000240,0.078099,0.958471,7:08:44
85.999204,0.000240,0.038377,0.958659,7:15:58
86.499204,0.000240,0.020313,0.957674,7:23:07
86.999204,0.000240,0.750333,0.958409,7:30:23
87.499204,0.000240,1.450992,0.958881,7:37:46
87.999204,0.000240,0.688399,0.959284,7:44:56
88.499204,0.000168,0.026052,0.958581,7:52:05
88.999204,0.000168,0.105504,0.959490,7:59:22
89.499204,0.000168,0.665117,0.959735,8:06:48
89.999204,0.000168,0.100012,0.958801,8:14:04
90.499204,0.000168,0.661377,0.958794,8:21:22
90.999204,0.000168,1.631382,0.957814,8:28:36
91.499204,0.000168,0.610287,0.959543,8:35:53
91.999204,0.000168,0.021836,0.959113,8:43:17
92.499204,0.000118,0.064462,0.958576,8:50:44
92.999204,0.000118,0.122026,0.959100,8:58:03
93.499204,0.000118,1.460631,0.959497,9:05:33
93.999204,0.000118,0.055350,0.959043,9:12:53
94.499204,0.000118,0.611694,0.960504,9:20:03
94.999204,0.000118,1.511504,0.961439,9:27:15
95.499204,0.000118,0.045916,0.960807,9:34:38
95.999204,0.000118,0.638487,0.959747,9:41:56
96.499204,0.000082,0.063500,0.959749,9:49:28
